,,,,,,,,,,Score,,
Rank,Contestant id,Contestant,Country,Sh,Sp,R,L,V,W,Abs.,Rel.,Medal
1,106,Benjamin Qi,United States of America,100,100,100,90.09,100,57,547.09,0.9118,1
2,14,Ildar Gainullin,Russia,100,64,100,90.22,100,57,511.22,0.852,1
3,214,Zixiang Zhou,Canada,100,40,100,97.33,100,57,494.33,0.8239,1
4,102,Ziqian Zhong,China,100,64,100,70.46,100,57,491.46,0.8191,1
5,103,Junzhao Yang,China,100,40,100,85.39,100,57,482.39,0.804,1
6,110,Po-Hsuan Su,Taiwan,100,40,100,71.14,66,100,477.14,0.7952,1
7,107,Eric Zhang,United States of America,100,40,100,83.87,100,43,466.87,0.7781,1
8,134,Mahdi Jafari Raviz,Iran,100,40,72,86.11,66,100,464.11,0.7735,1
9,138,Angus Ritossa,Australia,100,40,72,90.26,100,57,459.26,0.7654,1
10,158,Arthur Léonard,France,100,40,72,97.65,100,43,452.65,0.7544,1
11,111,Shih-Yu Wang,Taiwan,100,40,72,76.43,100,57,445.43,0.7424,1
12,98,Eu-Shaun Leong,Singapore,100,40,100,81.35,66,57,444.35,0.7406,1
13,108,Daniel Zhang,United States of America,100,40,100,77.75,100,24,441.75,0.7362,1
14,54,Nazarii Denha,Ukraine,85,40,72,85.2,100,57,439.2,0.732,1
15,174,Nikoloz Birkadze,Georgia,100,40,100,85.75,100,10,435.75,0.7262,1
16,25,Abdul Malik Nurrokhman,Indonesia,100,40,100,72.43,66,57,435.43,0.7257,1
17,13,Vladimir Romanov,Russia,100,40,100,72.35,66,57,435.35,0.7256,1
18,6,Sebin Kim,Republic of Korea,100,40,100,72.3,66,57,435.3,0.7255,1
19,194,Phuc Trinh Huu Gia,Vietnam,100,100,72,37.48,100,24,433.48,0.7225,1
20,105,Jiaxuan Gao,China,100,40,100,83.11,100,10,433.11,0.7219,1
21,84,Radoslav Dimitrov,Bulgaria,100,40,100,65.75,66,57,428.75,0.7146,1
22,5,Gyojun Youn,Republic of Korea,100,40,72,90.97,66,57,425.97,0.71,1
23,50,Batyr Sardarbekov,Kazakhstan,100,40,72,53.81,100,57,422.81,0.7047,1
24,197,Duc Bui Hong,Vietnam,100,40,72,52.66,100,57,421.66,0.7028,1
25,38,Masataka Yoneda,Japan,100,40,72,51.89,100,57,420.89,0.7015,1
26,16,Egor Lifar,Russia,85,40,100,85.3,52,57,419.3,0.6988,1
27,250,Balázs Tóth,Hungary,100,40,50,89.26,100,39,418.26,0.6971,1
28,15,Aleksandr Morozov,Russia,100,40,100,50.75,100,24,414.75,0.6912,1
29,40,Koichi Namekata,Japan,100,40,72,90.46,52,57,411.46,0.6858,2
30,135,Arshia Soltani Moakhar,Iran,100,40,100,65.52,66,39,410.52,0.6842,2
31,159,Etienne Rossignol,France,100,100,50,69.24,66,24,409.24,0.6821,2
32,222,Noam Gutterman,Israel,100,40,100,36.91,100,24,400.91,0.6682,2
33,286,Jiří Kalvoda,Czech Republic,100,40,38,65.7,100,57,400.7,0.6678,2
34,230,Patrick Pavić,Croatia,100,40,100,68.97,66,25,399.97,0.6666,2
35,182,Carlos Miguel Soto,Argentina,100,40,72,63.75,100,24,399.75,0.6662,2
36,136,Seyyed Mehrshad Mirmohammadi,Iran,100,40,100,98.5,59,0,397.5,0.6625,2
37,8,Yujin Im,Republic of Korea,100,40,72,61.41,66,57,396.41,0.6607,2
38,121,Harris Leung,Hong Kong,100,40,100,39.84,81,33,393.84,0.6564,2
39,191,Gediminas Lelešius,Lithuania,100,100,50,33.81,66,43,392.81,0.6547,2
40,55,Sofiia Melnyk,Ukraine,100,40,72,54.6,66,57,389.6,0.6493,2
41,223,Almog Wald,Israel,100,100,50,36.07,100,0,386.07,0.6434,2
42,208,Michal Staník,Slovakia,100,40,50,70.63,66,57,383.63,0.6394,2
43,37,Yasutaka Hiraki,Japan,100,40,72,45.89,100,24,381.89,0.6365,2
44,190,Tautvydas Jasiūnas,Lithuania,100,40,50,63.68,100,24,377.68,0.6295,2
45,307,Theodor Pierre Moroianu,Romania,100,40,50,86.15,100,0,376.15,0.6269,2
46,119,Man Tsung Yeung,Hong Kong,100,40,72,88.11,66,10,376.11,0.6269,2
47,85,Aleksandar Krastev,Bulgaria,100,11,59,79.96,100,24,373.96,0.6233,2
48,186,Yaraslau Barysau,Belarus,85,40,100,58.59,66,24,373.59,0.6227,2
49,104,Xiuhan Wang,China,100,40,72,69.59,52,39,372.59,0.621,2
50,305,Fredrik Ekholm,Sweden,100,7,72,68.72,100,24,371.72,0.6195,2
51,217,Victor Rong,Canada,100,40,72,68.32,66,24,370.32,0.6172,2
52,39,Sora Todaka,Japan,100,40,50,53.33,100,24,367.33,0.6122,2
53,207,Martin Melicher,Slovakia,100,40,72,62.99,81,10,365.99,0.61,2
54,86,Martin Kopchev,Bulgaria,100,40,72,62.33,66,24,364.33,0.6072,2
55,161,Hugo Peyraud-Magnin,France,85,40,50,82.69,66,39,362.69,0.6045,2
56,109,William Lin,United States of America,100,29,0,74.2,100,57,360.2,0.6003,2
57,233,Krešimir Nežmah,Croatia,100,40,31,63.95,100,24,358.95,0.5983,2
58,77,Tadija Šebez,Serbia,100,40,72,70.62,52,24,358.62,0.5977,2
59,56,Andriy Kuts,Ukraine,100,40,72,56.11,66,24,358.11,0.5969,2
60,276,Kevin Pucci,Portugal,100,40,72,56.02,66,24,358.02,0.5967,2
61,96,Khaleel Al-Adhami,Jordan,100,40,72,76.82,66,0,354.82,0.5914,2
62,65,Sanchayapol Lewgasamsarn,Thailand,85,40,50,53.78,100,24,352.78,0.588,2
63,196,Kien Vu Hoang,Vietnam,100,40,72,49.77,66,24,351.77,0.5863,2
64,51,Daniyar Zakarin,Kazakhstan,100,40,50,37.24,100,24,351.24,0.5854,2
65,88,Ekrem Bal,Turkey,100,40,50,70.06,66,24,350.06,0.5834,2
66,100,Jeffrey Chun Hean Lee,Singapore,100,40,28,54.25,100,24,346.25,0.5771,2
67,206,Ondrej Baranovič,Slovakia,100,40,37,78.5,66,24,345.5,0.5758,2
68,27,R. Fausta Anugrah Dianparama,Indonesia,100,40,50,78.17,52,24,344.17,0.5736,2
69,271,Alexandru Rudi,Moldova,100,40,50,77.49,66,10,343.49,0.5725,2
70,187,Siarhei Protski,Belarus,100,40,50,62.28,66,24,342.28,0.5705,2
71,200,Nyamdavaa Amar,Mongolia,100,40,72,67.49,52,10,341.49,0.5691,2
72,284,Josef Minařík,Czech Republic,100,40,50,97.33,54,0,341.33,0.5689,2
73,308,Bogdan Sitaru,Romania,100,40,72,48.1,55,24,339.1,0.5652,2
74,166,Mieszko Grodzicki,Poland,65,18,72,49.98,100,33,337.98,0.5633,2
75,46,Richard Luhtaru,Estonia,100,18,37,70.56,100,10,335.56,0.5593,2
76,168,Jakub Wasilewski,Poland,100,40,72,60.46,52,10,334.46,0.5574,2
77,26,Vincent Ling,Indonesia,100,40,37,66.77,66,24,333.77,0.5563,2
78,244,Adhyyan Sekhsaria,India,100,40,50,37.93,81,24,332.93,0.5549,2
79,137,Kasra Mazaheri,Iran,100,40,72,40.87,55,24,331.87,0.5531,2
80,140,Timmy Yao,Australia,100,40,38,43.54,100,10,331.54,0.5526,2
81,160,Rémy Kimbrough,France,100,40,50,48.99,52,39,329.99,0.55,2
82,180,Mohamed Ehab,Egypt,100,40,72,41.18,52,24,329.18,0.5486,2
83,7,Onjo Lee,Republic of Korea,100,64,38,50.61,52,24,328.61,0.5477,3
84,192,Martynas Sinkievič,Lithuania,100,40,37,82.2,69,0,328.2,0.547,3
85,177,Teimurazi Toloraia,Georgia,100,40,50,60.46,52,24,326.46,0.5441,3
86,87,Viktor Kozhuharov,Bulgaria,100,7,50,68.61,100,0,325.61,0.5427,3
87,225,Roee Sinai,Israel,100,33,37,54.6,100,0,324.6,0.541,3
88,215,George Chen,Canada,100,40,59,48.69,52,24,323.69,0.5395,3
89,152,Federico Stazi,Italy,100,40,50,68.02,55,10,323.02,0.5384,3
90,306,Laura Ioana Georgescu,Romania,100,40,40,52.08,66,24,322.08,0.5368,3
91,195,Tung Nguyen Minh,Vietnam,100,40,72,52.94,32,24,320.94,0.5349,3
92,273,Andrej Velichkovski,Macedonia,100,40,50,54.65,66,10,320.65,0.5344,3
93,153,Fabrizio Brioni,Italy,100,40,72,55.67,52,0,319.67,0.5328,3
94,76,Nikola Pešić,Serbia,85,40,72,45.76,66,10,318.76,0.5313,3
95,64,Sirawit Pongnakintr,Thailand,100,40,50,52.62,66,10,318.62,0.531,3
96,112,Min-Yen Tsai,Taiwan,85,29,10,54.83,81,57,316.83,0.528,3
97,173,Anastasios Panagopoulos,Greece,100,40,50,35.87,66,24,315.87,0.5265,3
98,47,Toomas Tennisberg,Estonia,100,18,72,63.13,52,10,315.13,0.5252,3
99,209,Jozef Fülöp,Slovakia,100,40,37,60.35,52,24,313.35,0.5223,3
100,139,Ryan Wang,Australia,65,40,50,75.93,66,10,306.93,0.5116,3
101,309,Alexandru Petrescu,Romania,100,0,59,24.63,66,57,306.63,0.511,3
102,247,Kieran Horgan,Ireland,100,40,37,63.25,52,10,302.25,0.5038,3
103,295,Marco Meijer,Netherlands,100,40,37,53.53,47,24,301.53,0.5026,3
104,52,Temirlan Baibolov,Kazakhstan,100,40,72,57.37,32,0,301.37,0.5023,3
105,127,Dan Baterisna,Philippines,100,40,31,40.1,66,24,301.1,0.5018,3
106,118,Ka Hei Wai,Hong Kong,65,40,37,82.95,52,24,300.95,0.5016,3
107,238,Vincent de Bakker,Germany,100,18,59,61.15,52,10,300.15,0.5002,3
108,268,Gabriel Cojocaru,Moldova,100,40,72,21.78,66,0,299.78,0.4996,3
109,90,Cahid Enes Keles,Turkey,100,18,50,53.33,66,10,297.33,0.4955,3
110,289,Matīss Kristiņš,Latvia,85,18,27,77.18,66,24,297.18,0.4953,3
111,291,Kārlis Šusters,Latvia,100,40,37,53.92,66,0,296.92,0.4949,3
112,145,Omurbek Dzhamalov,Kyrgyzstan,100,40,50,30.91,52,24,296.91,0.4948,3
113,316,Ahmad Haidar,Syria,100,40,25,65.81,66,0,296.81,0.4947,3
114,57,Rezwan Arefin,Bangladesh,100,40,50,53.06,52,0,295.06,0.4918,3
115,150,Alessandro Bortolin,Italy,45,18,37,70.27,100,24,294.27,0.4905,3
116,66,Pongsaphol Pongsawakul,Thailand,100,29,50,37.75,52,24,292.75,0.4879,3
117,242,Rajarshi Basu,India,100,40,50,45.03,33,24,292.03,0.4867,3
118,167,Marek Skiba,Poland,100,42,37,10,100,0,289,0.4817,3
119,189,Aliaksei Filinovich,Belarus,100,40,15,57.82,66,10,288.82,0.4814,3
120,212,Benedict Randall Shaw,United Kingdom,100,18,0,70.74,100,0,288.74,0.4812,3
121,73,Benjamin Bajd,Slovenia,65,40,38,54.6,66,24,287.6,0.4793,3
122,99,Benson Zhan Li Lin,Singapore,65,18,50,78.19,66,10,287.19,0.4787,3
123,232,Dorijan Lendvaj,Croatia,45,18,59,74.05,81,10,287.05,0.4784,3
124,285,Michal Jireš,Czech Republic,100,18,0,68.08,100,0,286.08,0.4768,3
125,34,Jia Jun Lee,Malaysia,100,40,37,53.89,55,0,285.89,0.4765,3
126,28,Moses Mayer,Indonesia,100,40,27,52.19,55,10,284.19,0.4737,3
127,18,Héctor Fernando Ricárdez Lara,Mexico,65,18,72,52.15,66,10,283.15,0.4719,3
128,231,Pavel Kliska,Croatia,85,40,23,57.33,66,10,281.33,0.4689,3
129,79,Mladen Puzić,Serbia,100,29,25,36.94,66,24,280.94,0.4682,3
130,220,Santeri Toivonen,Finland,100,18,25,75.77,52,10,280.77,0.468,3
131,253,Nándor Nagy,Hungary,100,40,38,36.47,66,0,280.47,0.4674,3
132,120,Lok Kan Yuen,Hong Kong,100,40,25,39.16,66,10,280.16,0.4669,3
133,240,Erik Sünderhauf,Germany,65,40,37,47.88,66,24,279.88,0.4665,3
134,53,Maxym Zub,Ukraine,25,40,72,52.62,66,24,279.62,0.466,3
135,60,Arman Ferdous,Bangladesh,85,40,38,62.33,52,0,277.33,0.4622,3
136,142,Shabdan Batyrkulov,Kyrgyzstan,100,18,50,33.32,52,24,277.32,0.4622,3
137,265,Nicolas Camenisch,Switzerland,45,100,0,30.54,100,0,275.54,0.4592,3
138,239,Lennart Ferlemann,Germany,65,40,38,53.58,52,24,272.58,0.4543,3
139,68,Zhiyuan Qi,New Zealand,65,18,38,75.22,66,10,272.22,0.4537,3
140,210,Zachary Smith,United Kingdom,45,40,50,61.15,66,10,272.15,0.4536,3
141,97,Muhannad Alwarawreh,Jordan,100,18,25,53.08,52,24,272.08,0.4535,3
142,78,Jovan Bengin,Serbia,100,18,50,40.38,52,10,270.38,0.4506,3
143,48,Andres Alumets,Estonia,100,18,50,39.45,52,10,269.45,0.4491,3
144,74,Jakob Schrader,Slovenia,100,18,50,25.33,52,24,269.33,0.4489,3
145,175,Bakari Gamezardashvili,Georgia,100,40,10,51.15,66,0,267.15,0.4452,3
146,303,Gustav Kalander,Sweden,100,40,18,38.85,58,10,264.85,0.4414,3
147,30,Fares Basuni,Saudi Arabia,85,40,50,37.4,52,0,264.4,0.4407,3
148,304,Hugo Eberhard,Sweden,100,29,10,35.34,66,24,264.34,0.4406,3
149,143,Talantbek Zhenishbek uulu,Kyrgyzstan,100,40,50,21.76,52,0,263.76,0.4396,3
150,141,Tunan Shi,Australia,45,40,23,79.6,66,10,263.6,0.4393,3
151,188,Kiryl Shyrma,Belarus,100,29,40,26.36,58,10,263.36,0.4389,3
152,49,Zhan Kurbanbayev,Kazakhstan,85,18,72,25.67,52,10,262.67,0.4378,3
153,17,Sebastian Sánchez Lara,Mexico,85,40,50,32.22,55,0,262.22,0.437,3
154,327,Frederico Bulhões de Souza Ribeiro,Brazil,100,40,25,29.56,66,0,260.56,0.4343,3
155,95,Jon-Magnus Rosenblad,Norway,100,18,37,53.33,52,0,260.33,0.4339,3
156,302,Carl Westerlund,Sweden,100,18,25,53.31,52,10,258.31,0.4305,3
157,221,Olli Järviniemi,Finland,100,18,50,12.33,66,10,256.33,0.4272,3
158,113,Bo-Yen Tang,Taiwan,100,18,50,24.77,52,10,254.77,0.4246,3
159,263,Joël Huber,Switzerland,100,18,37,53.89,34,10,252.89,0.4215,3
160,58,Tasmeem Reza,Bangladesh,100,0,0,52.65,100,0,252.65,0.4211,3
161,272,Andrej Shekerov,Macedonia,100,7,25,58.27,52,10,252.27,0.4205,3
162,224,Itay Yehuda,Israel,100,40,37,12,52,10,251,0.4183,3
163,313,Mohammad Nour Massri,Syria,100,40,25,23.19,52,10,250.19,0.417,3
