Contest,Time,Requests,Count
1,09:30,wc,11
1,09:30,clarifications,14
1,09:30,snack,15
1,09:30,paper,26
1,09:30,water,4
1,09:30,snack,22
1,09:30,clarifications,1
1,09:30,snack,4
1,10:00,snack,8
1,10:00,paper,11
1,10:00,snack,3
1,10:00,clarifications,8
1,10:00,wc,18
1,10:00,snack,1
1,10:00,snack,18
1,10:00,water,3
1,10:30,snack,9
1,10:30,snack,29
1,10:30,wc,64
1,10:30,snack,1
1,10:30,snack,12
1,10:30,water,14
1,10:30,paper,10
1,10:30,clarifications,5
1,11:00,paper,13
1,11:00,snack,8
1,11:00,snack,35
1,11:00,clarifications,2
1,11:00,water,22
1,11:00,snack,22
1,11:00,snack,1
1,11:00,wc,95
1,11:30,paper,11
1,11:30,snack,7
1,11:30,clarifications,4
1,11:30,snack,25
1,11:30,water,15
1,11:30,wc,132
1,11:30,snack,17
1,12:00,snack,18
1,12:00,paper,11
1,12:00,snack,15
1,12:00,clarifications,8
1,12:00,snack,48
1,12:00,wc,77
1,12:00,snack,1
1,12:00,water,28
1,12:30,snack,6
1,12:30,water,16
1,12:30,snack,14
1,12:30,clarifications,4
1,12:30,paper,9
1,12:30,snack,19
1,12:30,snack,1
1,12:30,wc,75
1,13:00,water,10
1,13:00,snack,1
1,13:00,paper,9
1,13:00,snack,7
1,13:00,clarifications,4
1,13:00,snack,18
1,13:00,wc,92
1,13:00,snack,14
1,13:30,paper,1
1,13:30,clarifications,1
1,13:30,snack,9
1,13:30,snack,13
1,13:30,snack,1
1,13:30,clarifications,1
1,13:30,water,20
1,13:30,wc,62
1,13:30,snack,5
1,14:00,snack,11
1,14:00,snack,16
1,14:00,clarifications,5
1,14:00,water,14
1,14:00,wc,44
1,14:00,snack,9
1,14:00,snack,3
2,09:20,clarifications,1
2,09:20,wc,29
2,09:20,clarifications,1
2,09:20,snack,32
2,09:20,snack,17
2,09:20,water,9
2,09:20,clarifications,37
2,09:20,snack,1
2,09:20,paper,16
2,09:20,snack,6
2,09:50,wc,37
2,09:50,snack,14
2,09:50,snack,4
2,09:50,water,8
2,09:50,snack,31
2,09:50,clarifications,38
2,09:50,paper,5
2,10:20,clarifications,1
2,10:20,snack,24
2,10:20,paper,5
2,10:20,water,12
2,10:20,snack,3
2,10:20,wc,58
2,10:20,snack,18
2,10:20,clarifications,13
2,10:50,snack,31
2,10:50,clarifications,1
2,10:50,snack,1
2,10:50,wc,96
2,10:50,water,8
2,10:50,paper,5
2,10:50,clarifications,9
2,10:50,snack,5
2,10:50,snack,9
2,11:20,water,13
2,11:20,snack,20
2,11:20,snack,4
2,11:20,paper,10
2,11:20,snack,2
2,11:20,clarifications,6
2,11:20,wc,85
2,11:20,snack,12
2,11:50,clarifications,1
2,11:50,snack,23
2,11:50,snack,35
2,11:50,paper,5
2,11:50,clarifications,6
2,11:50,snack,4
2,11:50,water,14
2,11:50,wc,86
2,11:50,snack,17
2,12:20,snack,4
2,12:20,wc,81
2,12:20,paper,2
2,12:20,snack,24
2,12:20,snack,13
2,12:20,water,21
2,12:20,clarifications,5
2,12:50,snack,6
2,12:50,paper,6
2,12:50,wc,83
2,12:50,water,22
2,12:50,clarifications,10
2,12:50,snack,22
2,12:50,snack,7
2,13:20,snack,3
2,13:20,water,22
2,13:20,snack,15
2,13:20,snack,24
2,13:20,paper,3
2,13:20,wc,60
2,13:20,clarifications,7
2,13:20,snack,1
2,13:50,snack,19
2,13:50,snack,1
2,13:50,wc,31
2,13:50,paper,2
2,13:50,water,11
2,13:50,snack,3
2,13:50,clarifications,6
2,13:50,snack,7
2,14:20,paper,1
2,14:20,water,6
2,14:20,clarifications,5
2,14:20,snack,4
2,14:20,snack,5
2,14:20,snack,4
2,14:20,wc,21